LongName,Wage_euro,OVA
Nabil Fekir,38000,83
Marcos Acuña,41000,83
Steven Bergwijn,105000,83
Joe Gomez,95000,83
Martin Ødegaard,135000,83
Donny van de Beek,125000,83
Pau López Sabata,25000,83
Martin Dúbravka,47000,83
Diego Carlos Santos Silva,39000,83
Federico Valverde,135000,83
Gerard Moreno Balagueró,56000,83
Gabriel Fernando de Jesus,150000,83
Rafael A. Ferreira Silva,23000,83
Lucas Rodrigues M. Silva,120000,83
Thomas Strakosha,58000,83
Filip Kostić,45000,83
José Luís Gayà Peña,46000,83
Dele Alli,105000,83
João Pedro Cavaco Cancelo,140000,83
Alessio Romagnoli,51000,83
Juan Bernat Velasco,95000,83
Edin Višća,59000,83
Samuel Umtiti,170000,83
Luiz Frello Filho Jorge,125000,83
Cristian Portugues Manzanera,50000,83
Marcel Sabitzer,74000,83
Duván Zapata,87000,83
Mateo Kovačić,120000,83
Nélson Cabral Semedo,100000,83
Fernando Reges,39000,83
Dušan Tadić,30000,83
Blaise Matuidi,14000,83
Kieran Trippier,71000,83
Sergio Roberto Carnicer,175000,83
Anthony Lopes,69000,83
Charles Aránguiz,79000,83
Joel Matip,115000,83
Aitor Fernández,31000,83
Alexandre Lacazette,125000,83
Wilfried Zaha,82000,83
Kostas Manolas,84000,83
Lukáš Hrádecký,64000,83
Iker Muniain Goñi,41000,83
Philippe Coutinho Correia,190000,83
Oscar dos Santos Emboaba,25000,83
Koen Casteels,53000,83
Francesco Acerbi,75000,83
İlkay Gündoğan,160000,83
Kevin Trapp,35000,83
José Paulo Bezerra M. Júnior,39000,83
Yuri Berchiche Izeta,35000,83
Allan Marques Loureiro,115000,83
Arturo Vidal,125000,83
Edin Džeko,39000,83
Radja Nainggolan,125000,83
Marcelo Vieira da Silva,170000,83
Gareth Bale,200000,83
Éver Banega,55000,83
Jan Vertonghen,21000,83
Steve Mandanda,28000,83
Zlatan Ibrahimović,49000,83
Carlos Vela,17000,83
João Filipe Moutinho,110000,83
Gonzalo Higuaín,17000,83
Renato Augusto,33000,83
Lucas Hernández,70000,82
Dakonam Djené,39000,82
Florian Thauvin,59000,82
Jiří Pavlenka,32000,82
Josué Durval Chiamulera Vaz,41000,82
Giovani Lo Celso,95000,82
Marcos Llorente Moreno,65000,82
Nicolas Pépé,100000,82
Konrad Laimer,53000,82
Rúben Diogo da Silva Neves,89000,82
David Soria Solís,30000,82
Robin Gosens,68000,82
Marco Asensio Willemsen,160000,82
Yannick Carrasco,68000,82
Sergio Reguilón Rodríguez,85000,82
Andrej Kramarić,56000,82
Quincy Promes,26000,82
Mike Maignan,31000,82
Lucas Ocampos,40000,82
Kepa Arrizabalaga,76000,82
Emre Can,72000,82
Matthias Ginter,48000,82
Fernando Pacheco Flores,28000,82
Marcel Halstenberg,65000,82
Anderson Souza Conceição,36000,82
Ángel Correa,65000,82
Gerónimo Rulli,35000,82
Fabián Ruiz Peña,70000,82
Tomáš Vaclík,29000,82
Raphael William Anjos Rochedo,32000,82
Harry Maguire,120000,82
Daley Blind,23000,82
Nick Pope,59000,82
Rodrigo Moreno Machado,140000,82
Alphonse Areola,71000,82
Mário Figueira Fernandes,60000,82
Norberto Murara Neto,125000,82
Mattia Perin,20000,82
Agustín Marchesín,16000,82
James Rodríguez,105000,82
Danilo Luís Hélio Pereira,20000,82
Álvaro Borja Morata Martín,100000,82
Gabriel Armando de Abreu,46000,82
Sergio Canales Madrazo,36000,82
Karim Bellarabi,79000,82
Oliver Baumann,37000,82
Sergio Asenjo Andrés,34000,82
Lars Bender,72000,82
Gianluigi Buffon,41000,82
Aaron Ramsey,100000,82
Raúl Albiol Tortajada,41000,82
Mesut Özil,100000,82
Dimitri Payet,59000,82
Ivan Rakitić,39000,82
Willian Borges da Silva,110000,82
Marko Arnautović,24000,82
Fernando Muslera,64000,82
Aleksandar Kolarov,105000,82
Jérôme Boateng,82000,82
Ivan Perišić,115000,82
Houssem Aouar,65000,81
Manuel Lazzari,70000,81
Marc Cucurella Saseta,28000,81
Rúben Santos Gato Alves Dias,105000,81
Moussa Diaby,54000,81
Ferran Torres García,95000,81
João Félix Sequeira,52000,81
Renan Augusto Lodi dos Santos,49000,81
Raphael Dias Belloli,100000,81
Josef Martínez,14000,81
Alphonso Davies,40000,81
Rosberto J. Dourado Santos,31000,81
Richarlison de Andrade,90000,81
Marvin Oswaldo Rangel Azevedo,56000,81
Nuno Ailton Padrenda Mendes,43000,81
Lourival Adnan Beretta Barbosa,53000,81
Adryan Juliano Zonta Torres,48000,81
Ben Chilwell,79000,81
Christian Pulisic,83000,81
Tomáš Souček,46000,81
Marko Dmitrović,30000,81
Wout Weghorst,62000,81
Presnel Kimpembe,69000,81
Ander Capa Rodríguez,31000,81
Luke Shaw,95000,81
Youri Tielemans,82000,81
Matteo Politano,105000,81
James Maddison,82000,81
Naby Keïta,95000,81
Everton Sousa Soares,17000,81
Lucas Torreira,74000,81
Iñaki Williams Arthuer,35000,81
Davinson Sánchez,79000,81
Jonathan Castro Otto,86000,81
Ignacio Fernández,24000,81
Joaquín Correa,73000,81
Walter Benítez,35000,81
Thomas Lemar,54000,81
Odisseas Vlachodimos,14000,81
Moussa Dembélé,72000,81
Adrien Rabiot,83000,81
Frederico de Paula Santos,115000,81
Gonçalo Manuel Ganchinho Guedes,39000,81
Marten de Roon,63000,81
Benjamin Pavard,65000,81
Thomas Delaney,64000,81
Jordi Masip López,21000,81
Xherdan Shaqiri,105000,81
Sebastián Coates,19000,81
Kevin Kampl,65000,81
Alessio Cragno,32000,81
Antonio Rüdiger,90000,81
Arkadiusz Milik,81000,81
Jordan Pickford,70000,81
Stefan Savić,60000,81
Eran Zahavi,27000,81
Santiago Arias,60000,81
Alessandro Florenzi,85000,81
Jesús Joaquín Fernández Sáez,39000,81
Benjamin Mendy,115000,81
Felipe Anderson Pereira Gomes,53000,81
Matt Doherty,95000,81
Kevin Volland,68000,81
Francisco Alcácer García,45000,81
Steven Berghuis,23000,81
Jasper Cillessen,33000,81
Pablo Sarabia García,100000,81
Thomas Meunier,64000,81
Sébastien Haller,58000,81
Simon Mignolet,26000,81
Ismaily Gonçalves dos S.,1000,81
Jonathan Viera Ramos,28000,81
Sven Bender,66000,81
Juan Cuadrado,80000,81
Andrés Iniesta Luján,12000,81
Marcos Alonso Mendoza,95000,81
Mario Götze,26000,81
Eduardo Salvio,26000,81
Marlos Romero Bonfim,2000,81
Max Kruse,42000,81
Sami Khedira,87000,81
Javier Martínez Aginaga,76000,81
Taison Barcellos Freda,2000,81
Iván Marcano Sierra,18000,81
Marek Hamšík,25000,81
Stéphane Ruffier,32000,81
Łukasz Fabiański,26000,81
Andrea Consigli,32000,81
Franck Ribéry,54000,81
Héctor Herrera,63000,81
Képler Laveran Lima Ferreira,13000,81
Esteban Andrada,19000,81
André-Pierre Gignac,66000,81
Vinícius José de Oliveira Júnior,95000,80
Maximiliano Gómez,40000,80
Viktor Tsygankov,1000,80
Tanguy Ndombele,82000,80
Ben Davies,86000,80
David Neres Campos,21000,80
Christopher Nkunku,51000,80
Dean Henderson,70000,80
Çağlar Söyüncü,69000,80
Éder Gabriel Militão,115000,80
Unai Simón Mendibil,18000,80
Mason Mount,70000,80
Mauro Arambarri,28000,80
Theo Hernández,37000,80
Luka Jović,140000,80
Tony Josimar Abranjes Meneses,43000,80
Marcus Thuram,43000,80
Oleksandr Zinchenko,95000,80
Laureano Thomas Santeiro Marre,23000,80
Maikel Renan Catarino Fagundes,34000,80
Leon Bailey,59000,80
Mario Hermoso Canseco,51000,80
Yeray Álvarez López,26000,80
Nordi Mukiele,46000,80
Alejandro Remiro Gargallo,25000,80
Stefan Lainer,41000,80
Daniel Ceballos Fernández,125000,80
Mikel Merino Zazón,31000,80
Allan Saint-Maximin,43000,80
Héniton Enaldo Pires Tramontino,28000,80
Diogo José Teixeira da Silva,90000,80
Nicolò Barella,86000,80
Valentin Rongier,45000,80
Otávio Edmilson da Silva Monteiro,17000,80
Lukas Klostermann,46000,80
Hirving Lozano,66000,80
Victor Lindelöf,100000,80
José Ángel Esmoris Tasende,95000,80
Matias Vecino,95000,80
Corentin Tolisso,74000,80
Juan Musso,17000,80
Piotr Zieliński,69000,80
Pierre-Emile Højbjerg,74000,80
Alassane Plea,49000,80
Gelson Dany Batalha Martins,56000,80
Jack Grealish,65000,80
William Silva de Carvalho,29000,80
Adnan Januzaj,37000,80
Andrea Belotti,57000,80
Franco Armani,17000,80
Lucas Vázquez Iglesias,165000,80
Domenico Berardi,39000,80
Rubén Peña Jiménez,37000,80
Daniele Rugani,47000,80
Kerem Demirbay,68000,80
Federico Bernardeschi,81000,80
João Mário Naval Costa Eduardo,100000,80
Iñigo Martínez Berridi,29000,80
Nikola Vlašić,47000,80
Šime Vrsaljko,56000,80
Julian Draxler,83000,80
Granit Xhaka,81000,80
José Gómez Campaña,31000,80
Nico Schulz,57000,80
José Ignacio Fernández Iglesias,135000,80
Benjamin Lecomte,46000,80
Martin Hinteregger,33000,80
Gerard Deulofeu Lázaro,25000,80
Adem Ljajić,78000,80
Jérôme Roussillon,49000,80
Willy Boly,84000,80
John Stones,110000,80
Pavel Kadeřábek,41000,80
Héctor Bellerín Moruno,77000,80
Damián Suárez,32000,80
James Tarkowski,59000,80
Cédric Bakambu,30000,80
Asier Illarramendi,32000,80
Mathew Ryan,53000,80
Benjamin André,42000,80
Ricardo Goulart Pereira,35000,80
Mario Gaspar Pérez Martínez,37000,80
Henrikh Mkhitaryan,28000,80
Sergio Escudero Palomo,31000,80
Willian José da Silva,40000,80
Danny Ings,70000,80
Marc Bartra Aregall,29000,80
Enzo Pérez,21000,80
Grzegorz Krychowiak,53000,80
André Gomes Magalhães Almeida,17000,80
Serge Aurier,86000,80
Givanildo Vieira de Souza,20000,80
Luuk de Jong,38000,80
Nemanja Matić,105000,80
João Miranda de Souza Filho,18000,80
Sebastian Giovinco,49000,80
Ignacio Monreal Eraso,32000,80
Antonio Adán Garrido,13000,80
Branislav Ivanović,61000,80
Simon Kjær,43000,80
Diego da Silva Costa,63000,80
David Luiz Moreira Marinho,81000,80
Giuliano Victor de Paula,46000,80
Sergio Romero,86000,80
Luiz Gustavo Dias,68000,80
Lars Stindl,45000,80
Nicolas Nkoulou,48000,80
Giacomo Bonaventura,61000,80
Vicente Guaita Panadero,48000,80
Francis Coquelin,41000,80
Łukasz Piszczek,41000,80
Alexis Sánchez,105000,80
Kurt Zouma,82000,80
Bafétimbi Gomis,53000,80
Daniel Wass,38000,80
Arjen Robben,12000,80
Raúl García Escudero,33000,80
Erik Lamela,100000,80
Radamel Falcao García Zarate,81000,80
Mousa Dembélé,22000,80
Jonny Evans,81000,80
Pedro Rodríguez Ledesma,30000,80
Igor Akinfeev,40000,80
Luís Carlos Almeida da Cunha,13000,80
James Milner,95000,80
Joaquín Sánchez Rodríguez,22000,80
Fabio Quagliarella,22000,80
Aluísio Chaves Rib. Moraes Júnior,1000,79
Morgan Sanson,42000,79
Carlos Vinícius Alves Morais,18000,79
Daniel Olmo Carvajal,48000,79
Rodrygo Silva de Goes,90000,79
Dan-Axel Zagadou,38000,79
Predrag Rajković,20000,79
Jules Koundé,21000,79
Héctor Junior Firpo Adamés,110000,79
Youcef Atal,32000,79
Nemanja Maksimović,29000,79
Pervis Estupiñán,29000,79
Phil Foden,86000,79
Enis Bardhi,26000,79
Sander Berge,34000,79
Scott McTominay,86000,79
Florian Neuhaus,37000,79
Denzel Dumfries,18000,79
Harvey Barnes,80000,79
Jonathan Ikoné,36000,79
Boubacar Kamara,29000,79
Declan Rice,31000,79
Carlos Soler Barragán,34000,79
Álvaro Odriozola Arzalluz,110000,79
Igor Zubeldia Elorza,26000,79
Alexander Isak,28000,79
Victor Osimhen,54000,79
Ruslan Malinovskyi,58000,79
Luan Vágner Boas Macedo,27000,79
Bernard Gabriel Prestão Chaves,26000,79
Melvin Luan Parrela Porfírio,19000,79
Everton Jorge Andrade Zanon,23000,79
Adnan Claudiano Vidual Machado,42000,79
Ronaldo Diego Esler Domingues,27000,79
Dayot Upamecano,36000,79
Milot Rashica,32000,79
André Miguel Valente da Silva,32000,79
Kasper Dolberg,39000,79
Ezequiel Ávila,40000,79
Lorenzo Pellegrini,23000,79
Jaime Mata Arnaiz,36000,79
Moussa Marega,19000,79
Léo Dubois,57000,79
Pablo Fornals Malla,41000,79
Alexandr Golovin,48000,79
Hamari Traoré,49000,79
Eric Bailly,100000,79
Duje Ćaleta-Car,35000,79
Joan Jordán Moreno,30000,79
Cristian Pavón,21000,79
Borja Iglesias Quintas,31000,79
Petros Matheus dos Santos Araujo,42000,79
Ramy Bensebaini,37000,79
Tiemoué Bakayoko,77000,79
Dominic Calvert-Lewin,80000,79
Munir El Haddadi,30000,79
Jason Denayer,57000,79
Joseba Zaldúa Bengoetxea,32000,79
Ante Rebić,48000,79
Julian Weigl,13000,79
Baptiste Santamaria,27000,79
Emerson Palmieri dos Santos,77000,79
Harry Winks,70000,79
Adama Traoré Diarra,80000,79
João Paulo Dias Fernandes,20000,79
José Luis Morales Nogales,32000,79
Daniel García Carrillo,29000,79
Armando Izzo,47000,79
Ayoze Pérez Gutiérrez,90000,79
Milton Casco,20000,79
Darío Benedetto,48000,79
Alexey Miranchuk,50000,79
Frank Fabra,21000,79
Abderrazak Hamdallah,52000,79
Andreas Christensen,70000,79
Ricardo Jorge da Luz Horta,20000,79
Jonathan Tah,50000,79
José Pedro Malheiro de Sá,1000,79
Philipp Max,20000,79
André Filipe Tavares Gomes,83000,79
Pierluigi Gollini,40000,79
Valentino Lazaro,81000,79
Rodrigo Bentancur,67000,79
Rubén García Santos,37000,79
Édouard Mendy,70000,79
Luis Muriel,65000,79
Alejandro Pozuelo Melero,12000,79
Fernando Lucas Martins,24000,79
Nicolás Otamendi,16000,79
Rui Tiago Dantas da Silva,23000,79
Nathan Aké,100000,79
Omar Mascarell González,31000,79
Munas Dabbur,46000,79
Emil Forsberg,57000,79
Hakan Çalhanoğlu,48000,79
Matheus Lima Magalhães,14000,79
Ryan Fraser,47000,79
Leandro Paredes,78000,79
Maximilian Arnold,46000,79
Taras Stepanenko,1000,79
Luka Milivojević,59000,79
James Ward-Prowse,59000,79
Willi Orban,50000,79
Mário Rui Silva Duarte,63000,79
Kenny Lala,34000,79
André Carrillo,48000,79
Álvaro González Soberón,40000,79
Alexander Schwolow,40000,79
Gabriel Appelt Pires,17000,79
Pedro León Sánchez Gil,33000,79
Kesen Ai,32000,79
Samuel Castillejo Azuaga,42000,79
Ibai Gómez Pérez,31000,79
Faouzi Ghoulam,63000,79
Rafael Alcântara,78000,79
Jordan Veretout,24000,79
Aïssa Mandi,27000,79
Marco Bizot,12000,79
Víctor Machín Pérez,55000,79
Matz Sels,28000,79
Nicolás Lodeiro,12000,79
Lucas Pérez Martínez,32000,79
Danilo Luiz da Silva,74000,79
João Pedro G. Santos Galvão,44000,79
Geoffrey Kondogbia,40000,79
Alex Oxlade-Chamberlain,89000,79
Andy Delort,43000,79
Nemanja Gudelj,30000,79
Jaume Vicent Costa Jordá,34000,79
Conor Coady,76000,79
Fabián Orellana,25000,79
Salif Sané,32000,79
Ander Herrera Agüera,78000,79
Stephan El Shaarawy,24000,79
José Ángel Valdés Díaz,30000,79
Chris Smalling,24000,79
Ben Mee,56000,79
Vicente Iborra de la Fuente,34000,79
Francesco Caputo,42000,79
Alex Teixeira dos Santos,29000,79
Steven Nzonzi,47000,79
Sven Ulreich,15000,79
Cristhian Stuani,16000,79
Sofiane Feghouli,70000,79
Gylfi Sigurðsson,83000,79
Diego Perotti,70000,79
Marco Parolo,40000,79
Moussa Sissoko,89000,79
Nordin Amrabat,46000,79
Sidnei Rechel da Silva Júnior,26000,79
Vitorino Pacheco Antunes,16000,79
Vedran Ćorluka,50000,79
Séamus Coleman,76000,79
Yann M'Vila,2000,79
Olivier Giroud,95000,79
Danny Rose,85000,79
Ángel Luís Rodríguez Díaz,36000,79
Juan Manuel Mata García,110000,79
Mathieu Valbuena,1000,79
Marcelo Díaz,22000,79
Nahuel Guzmán,40000,79
Kévin Gameiro,43000,79
Kevin Mbabu,44000,79
Sokratis Papastathopoulos,76000,79
Diego Valeri,12000,79
David Ospina,48000,79
Laurent Koscielny,35000,79
Ben Foster,12000,79
Benoît Costil,28000,79
Javier Mascherano,15000,79
Guillermo Ochoa,34000,79
José Manuel Reina Páez,30000,79
Ricardo Andrade Quaresma Bernardo,11000,79
Márcio Rafael Ferreira de Souza,2000,79
Éder Citadin Martins,29000,79
Antony Matheus dos Santos,15000,78
Vladimír Coufal,39000,78
Francisco Mota Castro Trincão,105000,78
Bruno Guimarães Moura,52000,78
Emerson Leite De Souza,17000,78
Edmond Tapsoba,38000,78
Luís Manuel Arantes Maximiano,8000,78
Lisandro Martínez,15000,78
Dwight McNeil,41000,78
Lorenzo Morón García,28000,78
Anthony Nwakaeme,34000,78
Pau Francisco Torres,26000,78
Luis Díaz,14000,78
Unai Núñez Gestoso,20000,78
Teun Koopmeiners,11000,78
Matheus Santos Carneiro Da Cunha,34000,78
Óscar Melendo Jiménez,10000,78
Ibrahima Konaté,33000,78
Matías Rojas,19000,78
Stefano Sensi,74000,78
Calvin Stengs,11000,78
Alban Lafont,25000,78
Federico Chiesa,67000,78
Matheus Jadson Bardeira Cunha,33000,78
Cengiz Ünder,66000,78
Domingos Sousa Menezes Duarte,25000,78
Patrik Schick,56000,78
Gabriel dos S. Magalhães,59000,78
Donyell Malen,17000,78
Tammy Abraham,77000,78
Gonzalo Montiel,15000,78
Miguel Almirón,43000,78
Renato Júnior Luz Sanches,33000,78
Jonathan Prazeres Conradi,33000,78
Fabian Schär,41000,78
Ismaïla Sarr,19000,78
Fred Claudinei Tófoli Vilela,43000,78
Arturo Adolfo Inálcio Dutra,30000,78
G. Pierre Paiva Souza,35000,78
Alberto Marcelo Dutra Cirino,45000,78
Everton Jorge Simão Resende,21000,78
Vincente Filho Dourado Hermes,31000,78
A. Benjamin Chiamuloira Paes,20000,78
Wellingt. Edson Sabrão Rolim,37000,78
Gérson Adriano Gutierres Serra,20000,78
Falaye Sacko,11000,78
Pierre Lees-Melou,37000,78
Breel Embolo,37000,78
João Maria Palhinha Gonçalves,12000,78
Jordan Amavi,37000,78
Florian Grillitsch,32000,78
Daniel Castelo Podence,72000,78
Kieran Tierney,59000,78
Benjamin Verbič,1000,78
Abdou Diallo,56000,78
Alex Meret,36000,78
Jonathan Bamba,33000,78
Paul Bernardoni,16000,78
Jonathan Rodríguez,68000,78
Ruben Aguilar,46000,78
Krzysztof Piątek,48000,78
Karl Toko-Ekambi,65000,78
Jaume Domenech Sánchez,28000,78
Hans Hateboer,52000,78
Jonathan Rodríguez Menéndez,58000,78
Jean-Pierre Nsame,28000,78
Manuel Locatelli,27000,78
Nico Elvedi,30000,78
Lei Wu,13000,78
Rafael Santos Borré,19000,78
Yerry Mina,66000,78
Mattia Caldara,37000,78
Ángel Mena,28000,78
Franco Cervi,16000,78
Marcos Paulo Mesquita Lopes,27000,78
Samuel Gigot,51000,78
Nuno Miguel Jerónimo Sequeira,16000,78
Stanislav Lobotka,57000,78
Marcelo Augusto Ferreira Teixeira,20000,78
Davide Zappacosta,77000,78
Iván Marcone,18000,78
Jean-Philippe Gbamin,59000,78
Carlos Izquierdoz,18000,78
Benjamin Bourigeaud,47000,78
Mateus Uribe,16000,78
Ruben Loftus-Cheek,70000,78
Roman Zobnin,51000,78
Leander Dendoncker,66000,78
Jack O'Connell,36000,78
Ricardo Sousa Esgaio,16000,78
José Ignacio Martínez García,21000,78
Roberto Gagliardini,77000,78
Vincenzo Grifo,28000,78
Florian Niederlechner,35000,78
Elseid Hysaj,54000,78
Renato Steffen,48000,78
Darwin Machís,29000,78
Raúl de Tomás Gómez,12000,78
Jhon Córdoba,50000,78
Manuel Akanji,42000,78
Youssef En-Nesyri,27000,78
Suat Serdar,27000,78
Miguel Ángel Moyá Rumbo,15000,78
Sead Kolašinac,69000,78
Christoph Kramer,37000,78
Burak Yılmaz,41000,78
Hiroki Sakai,37000,78
Romain Saïss,69000,78
Bryan Cristante,21000,78
Abdoulaye Doucouré,69000,78
Yussuf Poulsen,54000,78
Michael Keane,69000,78
Robin Olsen,56000,78
Luciano Vietto,17000,78
Leandro Trossard,56000,78
Manuel Trigueros Muñoz,35000,78
Mattia De Sciglio,55000,78
Leonardo Carrilho Baptistão,16000,78
Zouhair Feddal,14000,78
Téji Savanier,36000,78
Bernard Anício Caldeira Duarte,76000,78
Filip Novák,58000,78
Denis Suárez Fernández,28000,78
Takashi Inui,30000,78
John Egan,36000,78
Michy Batshuayi,88000,78
Jan Bořil,1000,78
Loris Karius,60000,78
Emiliano Martínez,43000,78
Younès Belhanda,64000,78
Maicon Pereira Roque,38000,78
Florent Mollet,36000,78
Djibril Sidibé,46000,78
Hans Vanaken,28000,78
Cristian Tello Herrera,27000,78
Nacer Chadli,43000,78
Danny da Costa,28000,78
Eric Dier,74000,78
Pablo Nascimento Castro,33000,78
Ciprian Tătărușanu,30000,78
Remo Freuler,55000,78
Diego Demme,57000,78
Nicolas Pallois,26000,78
Lewis Dunk,56000,78
Patrick Herrmann,44000,78
Domagoj Vida,58000,78
Ross Barkley,81000,78
Kévin Malcuit,57000,78
Nathan Redmond,56000,78
Fredrik Midtsjø,13000,78
Hugo Mallo Novegil,25000,78
Tom Heaton,43000,78
Oscar De Marcos Arana,24000,78
Leonardo Spinazzola,24000,78
M'Baye Niang,49000,78
Jonas Svensson,12000,78
Martin Škrtel,26000,78
Bas Dost,33000,78
Christian Günter,25000,78
Ryan Bertrand,51000,78
Guilherme Alvim Marinato,37000,78
Gervais Yao Kouassi,38000,78
Dieumerci Mbokani,27000,78
Celso Ortíz,41000,78
Ștefan Radu,51000,78
Ignacio Piatti,20000,78
Cristian Ansaldi,45000,78
Rogelio Funes Mori,50000,78
Michail Antonio,46000,78
Sérgio Miguel Relvas de Oliveira,16000,78
Marwin Hitz,39000,78
Víctor Laguardia Cisneros,25000,78
Germán Pezzella,50000,78
Ricardo Rodríguez,41000,78
Iago Herrerín Buisán,19000,78
Enda Stevens,37000,78
Chris Wood,62000,78
Alexandr Kokorin,63000,78
Shkodran Mustafi,72000,78
Luis Rodríguez,46000,78
Ashley Westwood,50000,78
Callum Wilson,48000,78
Manuel Lanzini,43000,78
Kevin-Prince Boateng,7000,78
Senad Lulić,56000,78
Lautaro Acosta,24000,78
Matías Suárez,21000,78
Rafael de Souza Pereira,44000,78
Mateo Musacchio,38000,78
Josuha Guilavogui,44000,78
Víctor David Díaz Miguel,26000,78
Papakouli Diop,28000,78
Etienne Capoue,20000,78
Felipe Caicedo,60000,78
Pablo Piatti,11000,78
Antonio Candreva,23000,78
Mathieu Debuchy,32000,78
Carlos Tévez,16000,78
Domenico Criscito,18000,78
José Sosa,47000,78
Jorge Molina Vidal,24000,78
Andrés Eduardo Fernández Moreno,20000,78
José Miguel da Rocha Fonte,24000,78
Andrés Guardado,26000,78
Victor Moses,84000,78
Lisandro López,18000,78
Gastón Ramírez,22000,77
